SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
5	3.52941176470588	2.74509803921569	2.74509803921569	0	92.1951593137255	1.5078125	-5.76171875
10	7.45098039215686	5.49019607843137	5.49019607843137	0	89.2417279411765	1.359375	-5.66015625
15	11.7647058823529	8.62745098039216	8.23529411764706	0	85.9298406862745	1.33203125	-5.65625
20	15.6862745098039	11.3725490196078	10.9803921568627	0	82.9733455882353	1.19140625	-5.44140625
25	20	14.5098039215686	14.1176470588235	0	79.6920955882353	1.1015625	-5.16015625
30	23.921568627451	17.6470588235294	17.2549019607843	0	76.6237745098039	1.0859375	-4.8515625
40	32.5490196078431	24.7058823529412	23.921568627451	0	69.9096200980392	1.109375	-4.546875
50	41.5686274509804	32.5490196078431	31.7647058823529	0	62.8661151960784	1.00390625	-3.89453125
60	51.3725490196078	41.9607843137255	40.3921568627451	0	55.2466299019608	1.12109375	-3.5546875
70	62.3529411764706	52.9411764705882	51.3725490196078	0	46.922487745098	0.8125	-2.859375
75	68.2352941176471	59.6078431372549	57.6470588235294	0	42.3697916666667	0.9140625	-2.69140625
80	74.5098039215686	66.6666666666667	65.0980392156863	0	37.5919117647059	0.734375	-2.2734375
85	81.5686274509804	76.078431372549	74.1176470588235	0	32.2855392156863	0.8671875	-2.1875
90	90.5882352941177	88.6274509803922	86.2745098039216	0	26.7907475490196	0.859375	-1.8984375
95	97.6470588235294	99.2156862745098	97.6470588235294	0	23.6657475490196	0.1328125	-1.7265625
